time, id, name, x, y, z, h, p, r, speed, wheel_angle, wheel_rot
0.000, 0, Ego, -394.190, -86.372, 0.000, 3.892, 0.000, 0.000, 13.889, 0.000, 0.000
0.000, 1, Obstacle, -460.042, -147.720, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.050, 0, Ego, -394.698, -86.846, 0.000, 3.892, 0.000, 0.000, 13.889, 0.000, 1.984
0.050, 1, Obstacle, -460.042, -147.720, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.100, 0, Ego, -395.207, -87.319, 0.000, 3.892, 0.000, 0.000, 13.889, 0.000, 3.968
0.100, 1, Obstacle, -460.042, -147.720, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.150, 0, Ego, -395.715, -87.792, 0.000, 3.892, 0.000, 0.000, 13.889, 0.000, 5.952
0.150, 1, Obstacle, -460.042, -147.720, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.200, 0, Ego, -396.223, -88.266, 0.000, 3.892, 0.000, 0.000, 13.889, 0.000, 1.653
0.200, 1, Obstacle, -460.042, -147.720, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.250, 0, Ego, -396.731, -88.739, 0.000, 3.892, 0.000, 0.000, 13.889, 0.000, 3.638
0.250, 1, Obstacle, -460.042, -147.720, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.300, 0, Ego, -397.239, -89.212, 0.000, 3.892, 0.000, 0.000, 13.889, 0.000, 5.622
0.300, 1, Obstacle, -460.042, -147.720, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.350, 0, Ego, -397.747, -89.686, 0.000, 3.892, 0.000, 0.000, 13.889, 0.000, 1.323
0.350, 1, Obstacle, -460.042, -147.720, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.400, 0, Ego, -398.255, -90.159, 0.000, 3.892, 0.000, 0.000, 13.889, 0.000, 3.307
0.400, 1, Obstacle, -460.042, -147.720, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.450, 0, Ego, -398.763, -90.633, 0.000, 3.892, 0.000, 0.000, 13.889, 0.000, 5.291
0.450, 1, Obstacle, -460.042, -147.720, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.500, 0, Ego, -399.271, -91.106, 0.000, 3.892, 0.000, 0.000, 13.889, 0.000, 0.992
0.500, 1, Obstacle, -460.042, -147.720, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.550, 0, Ego, -399.780, -91.579, 0.000, 3.892, 0.000, 0.000, 13.889, 0.000, 2.976
0.550, 1, Obstacle, -460.042, -147.720, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.600, 0, Ego, -400.288, -92.053, 0.000, 3.892, 0.000, 0.000, 13.889, 0.000, 4.960
0.600, 1, Obstacle, -460.042, -147.720, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.650, 0, Ego, -400.796, -92.526, 0.000, 3.892, 0.000, 0.000, 13.889, 0.000, 0.661
0.650, 1, Obstacle, -460.042, -147.720, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.700, 0, Ego, -401.304, -92.999, 0.000, 3.892, 0.000, 0.000, 13.889, 0.000, 2.645
0.700, 1, Obstacle, -460.042, -147.720, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.750, 0, Ego, -401.812, -93.473, 0.000, 3.892, 0.000, 0.000, 13.889, 0.000, 4.629
0.750, 1, Obstacle, -460.042, -147.720, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.800, 0, Ego, -402.320, -93.946, 0.000, 3.892, 0.000, 0.000, 13.889, 0.000, 0.330
0.800, 1, Obstacle, -460.042, -147.720, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.850, 0, Ego, -402.828, -94.419, 0.000, 3.892, 0.000, 0.000, 13.889, 0.000, 2.315
0.850, 1, Obstacle, -460.042, -147.720, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.900, 0, Ego, -403.336, -94.893, 0.000, 3.892, 0.000, 0.000, 13.889, 0.000, 4.299
0.900, 1, Obstacle, -460.042, -147.720, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.950, 0, Ego, -403.845, -95.366, 0.000, 3.892, 0.000, 0.000, 13.889, 0.000, 6.283
0.950, 1, Obstacle, -460.042, -147.720, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.000, 0, Ego, -404.353, -95.840, 0.000, 3.892, 0.000, 0.000, 13.889, 0.000, 1.984
1.000, 1, Obstacle, -460.042, -147.720, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.050, 0, Ego, -404.861, -96.313, 0.000, 3.892, 0.000, 0.000, 13.889, 0.000, 3.968
1.050, 1, Obstacle, -460.042, -147.720, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.100, 0, Ego, -405.369, -96.786, 0.000, 3.892, 0.000, 0.000, 13.889, 0.000, 5.952
1.100, 1, Obstacle, -460.042, -147.720, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.150, 0, Ego, -405.877, -97.260, 0.000, 3.892, 0.000, 0.000, 13.889, 0.000, 1.653
1.150, 1, Obstacle, -460.042, -147.720, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.200, 0, Ego, -406.385, -97.733, 0.000, 3.892, 0.000, 0.000, 13.889, 0.000, 3.637
1.200, 1, Obstacle, -460.042, -147.720, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.250, 0, Ego, -406.893, -98.206, 0.000, 3.892, 0.000, 0.000, 13.889, 0.000, 5.621
1.250, 1, Obstacle, -460.042, -147.720, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.300, 0, Ego, -407.401, -98.680, 0.000, 3.892, 0.000, 0.000, 13.889, 0.000, 1.322
1.300, 1, Obstacle, -460.042, -147.720, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.350, 0, Ego, -407.910, -99.153, 0.000, 3.892, 0.000, 0.000, 13.889, 0.000, 3.306
1.350, 1, Obstacle, -460.042, -147.720, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.400, 0, Ego, -408.418, -99.626, 0.000, 3.892, 0.000, 0.000, 13.889, 0.000, 5.291
1.400, 1, Obstacle, -460.042, -147.720, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.450, 0, Ego, -408.926, -100.100, 0.000, 3.892, 0.000, 0.000, 13.889, 0.000, 0.991
1.450, 1, Obstacle, -460.042, -147.720, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.500, 0, Ego, -409.434, -100.573, 0.000, 3.892, 0.000, 0.000, 13.889, 0.000, 2.976
1.500, 1, Obstacle, -460.042, -147.720, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.550, 0, Ego, -409.942, -101.047, 0.000, 3.892, 0.000, 0.000, 13.889, 0.000, 4.960
1.550, 1, Obstacle, -460.042, -147.720, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.600, 0, Ego, -410.450, -101.520, 0.000, 3.892, 0.000, 0.000, 13.889, 0.000, 0.661
1.600, 1, Obstacle, -460.042, -147.720, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.650, 0, Ego, -410.958, -101.993, 0.000, 3.892, 0.000, 0.000, 13.889, 0.000, 2.645
1.650, 1, Obstacle, -460.042, -147.720, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.700, 0, Ego, -411.466, -102.467, 0.000, 3.892, 0.000, 0.000, 13.889, 0.000, 4.629
1.700, 1, Obstacle, -460.042, -147.720, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.750, 0, Ego, -411.975, -102.940, 0.000, 3.892, 0.000, 0.000, 13.889, 0.000, 0.330
1.750, 1, Obstacle, -460.042, -147.720, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.800, 0, Ego, -412.483, -103.413, 0.000, 3.892, 0.000, 0.000, 13.889, 0.000, 2.314
1.800, 1, Obstacle, -460.042, -147.720, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.850, 0, Ego, -412.991, -103.887, 0.000, 3.892, 0.000, 0.000, 13.889, 0.000, 4.298
