time, id, name, x, y, z, h, p, r, speed, wheel_angle, wheel_rot
0.000, 0, Ego, -394.190, -86.372, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 0.000
0.000, 1, Obstacle, -558.820, -239.741, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.050, 0, Ego, -395.410, -87.508, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 4.762
0.050, 1, Obstacle, -558.820, -239.741, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.100, 0, Ego, -396.629, -88.644, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 3.241
0.100, 1, Obstacle, -558.820, -239.741, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.150, 0, Ego, -397.849, -89.780, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 1.719
0.150, 1, Obstacle, -558.820, -239.741, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.200, 0, Ego, -399.068, -90.916, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 0.198
0.200, 1, Obstacle, -558.820, -239.741, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.250, 0, Ego, -400.288, -92.053, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 4.960
0.250, 1, Obstacle, -558.820, -239.741, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.300, 0, Ego, -401.507, -93.189, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 3.438
0.300, 1, Obstacle, -558.820, -239.741, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.350, 0, Ego, -402.727, -94.325, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 1.917
0.350, 1, Obstacle, -558.820, -239.741, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.400, 0, Ego, -403.946, -95.461, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 0.396
0.400, 1, Obstacle, -558.820, -239.741, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.450, 0, Ego, -405.165, -96.597, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 5.158
0.450, 1, Obstacle, -558.820, -239.741, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.500, 0, Ego, -406.385, -97.733, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 3.636
0.500, 1, Obstacle, -558.820, -239.741, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.550, 0, Ego, -407.604, -98.869, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 2.115
