time, id, name, x, y, z, h, p, r, speed, wheel_angle, wheel_rot
0.000, 0, Ego, 230.000, -1.750, 0.000, 0.000, 0.000, 0.000, 22.220, 0.000, 0.000
0.050, 0, Ego, 231.111, -1.750, 0.000, 0.000, 0.000, 0.000, 22.220, 0.000, 3.174
0.100, 0, Ego, 232.222, -1.750, 0.000, 0.000, 0.000, 0.000, 22.220, 0.000, 0.065
0.150, 0, Ego, 233.333, -1.750, 0.000, 0.000, 0.000, 0.000, 22.220, 0.000, 3.240
0.200, 0, Ego, 234.444, -1.750, 0.000, 0.000, 0.000, 0.000, 22.220, 0.000, 0.131
0.250, 0, Ego, 235.555, -1.750, 0.000, 0.000, 0.000, 0.000, 22.220, 0.000, 3.305
0.300, 0, Ego, 236.666, -1.750, 0.000, 0.000, 0.000, 0.000, 22.220, 0.000, 0.196
0.350, 0, Ego, 237.777, -1.750, 0.000, 0.000, 0.000, 0.000, 22.220, 0.000, 3.370
0.400, 0, Ego, 238.888, -1.750, 0.000, 0.000, 0.000, 0.000, 22.220, 0.000, 0.262
0.450, 0, Ego, 239.999, -1.750, 0.000, 0.000, 0.000, 0.000, 22.220, 0.000, 3.436
0.500, 0, Ego, 241.110, -1.750, 0.000, 0.000, 0.000, 0.000, 22.220, 0.000, 0.327
0.550, 0, Ego, 242.221, -1.750, 0.000, 0.000, 0.000, 0.000, 22.220, 0.000, 3.501
0.600, 0, Ego, 243.332, -1.750, 0.000, 0.000, 0.000, 0.000, 22.220, 0.000, 0.392
0.650, 0, Ego, 244.443, -1.750, 0.000, 0.000, 0.000, 0.000, 22.220, 0.000, 3.567
0.700, 0, Ego, 245.554, -1.750, 0.000, 0.000, 0.000, 0.000, 22.220, 0.000, 0.458
0.750, 0, Ego, 246.665, -1.750, 0.000, 0.000, 0.000, 0.000, 22.220, 0.000, 3.632
0.800, 0, Ego, 247.776, -1.750, 0.000, 0.000, 0.000, 0.000, 22.220, 0.000, 0.523
0.850, 0, Ego, 248.887, -1.750, 0.000, 0.000, 0.000, 0.000, 22.220, 0.000, 3.697
0.900, 0, Ego, 249.998, -1.750, 0.000, 0.000, 0.000, 0.000, 22.220, 0.000, 0.588
0.950, 0, Ego, 251.109, -1.750, 0.000, 0.000, 0.000, 0.000, 22.220, 0.000, 3.763
1.000, 0, Ego, 252.220, -1.750, 0.000, 0.000, 0.000, 0.000, 22.220, 0.000, 0.654
1.050, 0, Ego, 253.331, -1.750, 0.000, 0.000, 0.000, 0.000, 22.220, 0.000, 3.828
1.100, 0, Ego, 254.442, -1.750, 0.000, 0.000, 0.000, 0.000, 22.220, 0.000, 0.719
1.150, 0, Ego, 255.553, -1.750, 0.000, 0.000, 0.000, 0.000, 22.220, 0.000, 3.894
1.200, 0, Ego, 256.664, -1.750, 0.000, 0.000, 0.000, 0.000, 22.220, 0.000, 0.785
1.250, 0, Ego, 257.775, -1.750, 0.000, 0.000, 0.000, 0.000, 22.220, 0.000, 3.959
1.300, 0, Ego, 258.886, -1.750, 0.000, 0.000, 0.000, 0.000, 22.220, 0.000, 0.850
1.350, 0, Ego, 259.997, -1.750, 0.000, 0.000, 0.000, 0.000, 22.220, 0.000, 4.024
1.400, 0, Ego, 261.108, -1.750, 0.000, 0.000, 0.000, 0.000, 22.220, 0.000, 0.915
1.450, 0, Ego, 262.219, -1.750, 0.000, 0.000, 0.000, 0.000, 22.220, 0.000, 4.090
1.500, 0, Ego, 263.330, -1.750, 0.000, 0.000, 0.000, 0.000, 22.220, 0.000, 0.981
1.550, 0, Ego, 264.441, -1.750, 0.000, 0.000, 0.000, 0.000, 22.220, 0.000, 4.155
1.600, 0, Ego, 265.552, -1.750, 0.000, 0.000, 0.000, 0.000, 22.220, 0.000, 1.046
1.650, 0, Ego, 266.663, -1.750, 0.000, 0.000, 0.000, 0.000, 22.220, 0.000, 4.220
1.700, 0, Ego, 267.774, -1.750, 0.000, 0.000, 0.000, 0.000, 22.220, 0.000, 1.112
1.750, 0, Ego, 268.885, -1.750, 0.000, 0.000, 0.000, 0.000, 22.220, 0.000, 4.286
1.800, 0, Ego, 269.996, -1.750, 0.000, 0.000, 0.000, 0.000, 22.220, 0.000, 1.177
1.850, 0, Ego, 271.126, -1.744, 0.000, 0.011, 0.000, 0.000, 22.220, 0.030, 4.351
1.900, 0, Ego, 272.237, -1.725, 0.000, 0.022, 0.000, 0.000, 22.220, 0.029, 1.242
1.950, 0, Ego, 273.348, -1.695, 0.000, 0.033, 0.000, 0.000, 22.220, 0.029, 4.417
2.000, 0, Ego, 274.458, -1.652, 0.000, 0.044, 0.000, 0.000, 22.220, 0.029, 1.308
2.050, 0, Ego, 275.568, -1.598, 0.000, 0.055, 0.000, 0.000, 22.220, 0.029, 4.482
2.100, 0, Ego, 276.677, -1.531, 0.000, 0.066, 0.000, 0.000, 22.220, 0.029, 1.373
2.150, 0, Ego, 277.785, -1.452, 0.000, 0.077, 0.000, 0.000, 22.220, 0.029, 4.547
2.200, 0, Ego, 278.892, -1.361, 0.000, 0.088, 0.000, 0.000, 22.220, 0.029, 1.438
2.250, 0, Ego, 279.998, -1.258, 0.000, 0.098, 0.000, 0.000, 22.220, 0.029, 4.613
2.300, 0, Ego, 281.103, -1.142, 0.000, 0.109, 0.000, 0.000, 22.220, 0.029, 1.504
2.350, 0, Ego, 282.207, -1.015, 0.000, 0.120, 0.000, 0.000, 22.220, 0.029, 4.678
2.400, 0, Ego, 283.309, -0.876, 0.000, 0.131, 0.000, 0.000, 22.220, 0.029, 1.569
2.450, 0, Ego, 284.410, -0.724, 0.000, 0.142, 0.000, 0.000, 22.220, 0.029, 4.744
2.500, 0, Ego, 285.509, -0.561, 0.000, 0.153, 0.000, 0.000, 22.220, 0.029, 1.635
2.550, 0, Ego, 286.606, -0.386, 0.000, 0.164, 0.000, 0.000, 22.220, 0.029, 4.809
2.600, 0, Ego, 287.701, -0.199, 0.000, 0.175, 0.000, 0.000, 22.220, 0.029, 1.700
2.650, 0, Ego, 288.794, 0.001, 0.000, 0.186, 0.000, 0.000, 22.220, 0.029, 4.874
2.700, 0, Ego, 289.885, 0.212, 0.000, 0.197, 0.000, 0.000, 22.220, 0.029, 1.765
2.750, 0, Ego, 290.973, 0.435, 0.000, 0.208, 0.000, 0.000, 22.220, 0.029, 4.940
2.800, 0, Ego, 292.059, 0.670, 0.000, 0.219, 0.000, 0.000, 22.220, 0.029, 1.831
2.850, 0, Ego, 293.142, 0.917, 0.000, 0.229, 0.000, 0.000, 22.220, 0.029, 5.005
2.900, 0, Ego, 294.223, 1.175, 0.000, 0.240, 0.000, 0.000, 22.220, 0.029, 1.896
2.950, 0, Ego, 295.300, 1.446, 0.000, 0.251, 0.000, 0.000, 22.220, 0.029, 5.070
3.000, 0, Ego, 296.375, 1.728, 0.000, 0.262, 0.000, 0.000, 22.220, 0.029, 1.962
3.050, 0, Ego, 297.446, 2.022, 0.000, 0.273, 0.000, 0.000, 22.220, 0.029, 5.136
3.100, 0, Ego, 298.514, 2.327, 0.000, 0.284, 0.000, 0.000, 22.220, 0.029, 2.027
3.150, 0, Ego, 299.579, 2.644, 0.000, 0.295, 0.000, 0.000, 22.220, 0.029, 5.201
3.200, 0, Ego, 300.640, 2.973, 0.000, 0.306, 0.000, 0.000, 22.220, 0.029, 2.092
3.250, 0, Ego, 301.698, 3.313, 0.000, 0.317, 0.000, 0.000, 22.220, 0.029, 5.267
