time, id, name, x, y, z, h, p, r, speed, wheel_angle, wheel_rot
0.000, 0, Ego, -430.775, -120.454, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 0.000
0.000, 1, Obstacle, -625.892, -302.225, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.050, 0, Ego, -431.994, -121.590, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 4.762
0.050, 1, Obstacle, -625.892, -302.225, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.100, 0, Ego, -433.214, -122.726, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 3.241
0.100, 1, Obstacle, -625.892, -302.225, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.150, 0, Ego, -434.433, -123.862, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 1.719
0.150, 1, Obstacle, -625.892, -302.225, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.200, 0, Ego, -435.653, -124.998, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 0.198
0.200, 1, Obstacle, -625.892, -302.225, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.250, 0, Ego, -436.872, -126.134, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 4.960
0.250, 1, Obstacle, -625.892, -302.225, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.300, 0, Ego, -438.092, -127.271, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 3.438
0.300, 1, Obstacle, -625.892, -302.225, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.350, 0, Ego, -439.311, -128.407, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 1.917
0.350, 1, Obstacle, -625.892, -302.225, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.400, 0, Ego, -440.530, -129.543, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 0.396
0.400, 1, Obstacle, -625.892, -302.225, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.450, 0, Ego, -441.750, -130.679, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 5.158
0.450, 1, Obstacle, -625.892, -302.225, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.500, 0, Ego, -442.969, -131.815, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 3.636
0.500, 1, Obstacle, -625.892, -302.225, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.550, 0, Ego, -444.189, -132.951, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 2.115
0.550, 1, Obstacle, -625.892, -302.225, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.600, 0, Ego, -445.408, -134.087, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 0.594
0.600, 1, Obstacle, -625.892, -302.225, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.650, 0, Ego, -446.628, -135.223, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 5.355
0.650, 1, Obstacle, -625.892, -302.225, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.700, 0, Ego, -447.847, -136.359, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 3.834
0.700, 1, Obstacle, -625.892, -302.225, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.750, 0, Ego, -449.067, -137.495, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 2.313
0.750, 1, Obstacle, -625.892, -302.225, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.800, 0, Ego, -450.286, -138.631, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 0.791
0.800, 1, Obstacle, -625.892, -302.225, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.850, 0, Ego, -451.506, -139.767, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 5.553
0.850, 1, Obstacle, -625.892, -302.225, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.900, 0, Ego, -452.725, -140.903, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 4.032
0.900, 1, Obstacle, -625.892, -302.225, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.950, 0, Ego, -453.945, -142.039, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 2.511
